scenario,seed,method,n_dogs,completion_G0_s,completion_G0_done_s,path_ratio_G0,completion_G1_s,completion_G1_done_s,path_ratio_G1,completion_G2_s,completion_G2_done_s,path_ratio_G2,completion_G3_s,completion_G3_done_s,path_ratio_G3,completion_G4_s,completion_G4_done_s,path_ratio_G4,completion_G5_s,completion_G5_done_s,path_ratio_G5,max_hard_slack_m,all_done,timeouts,deadlock,makespan_s,mean_completion_s,path_ratio,min_dogdog_m,min_dogwall_m,viol_steps_dog,max_viol_depth_m,viol_steps_wall,intervention_rate,stop_steps,reject_steps,mean_dcmd,max_dcmd,filter_p50_ms,filter_p99_ms,condition,n_falls,diverged,arena,wall_s
S5,1009,nominal+dam,6,1.46,1.46,0.8185594594281956,4.46,4.46,0.9652650995264124,7.58,7.58,1.0100014579889272,4.46,4.46,0.9579208222055563,4.38,4.38,1.1094134943474523,7.12,7.12,0.9748115948285734,0.0006012029394053825,True,0,False,7.58,4.91,0.9726619880541862,0.6525424546276968,nan,25,0.04745754537230318,0,0.17719298245614035,0,0,0.07542777273690203,1.2322032554122853,0.1904638484120369,1.0084337554872036,nominal+dam,0,False,0,44.3
S5,1010,nominal+dam,6,8.96,8.96,0.985256228739929,6.32,6.32,1.0028190271038782,5.62,5.62,1.0740066620968367,9.22,9.22,1.0052380446268856,2.64,2.64,1.0244223017044312,8.9,8.9,0.9988040066365745,0.0033746215070265015,True,0,False,9.22,6.943333333333333,1.0150910451514226,0.6968344319431581,nan,4,0.003165568056841872,0,0.43434343434343436,0,0,0.1582921603029265,0.9307953926893087,0.22185686975717545,1.031361985951662,nominal+dam,0,False,2,53.1
S5,1011,nominal+dam,6,4.78,4.78,1.0192722601828716,4.48,4.48,1.0263369376224385,4.0,4.0,1.2421902625133976,5.5600000000000005,5.5600000000000005,1.070054653628881,2.34,2.34,1.0972342838358238,10.92,10.92,1.0116867585209626,8.475212858821526e-07,True,0,False,10.92,5.346666666666667,1.0777958593840626,0.8018121316005725,nan,0,0.0,0,0.2730042656916514,0,0,0.10944742243024623,1.0732811395835287,0.20860787481069565,0.9831688366830349,nominal+dam,0,False,3,61.7
S5,1012,nominal+dam,6,2.16,2.16,0.960135131128908,7.24,7.24,0.9695422251749874,5.9,5.9,0.9675303690641616,6.48,6.48,0.9697755990879469,4.5200000000000005,4.5200000000000005,0.9616427978440066,1.1,1.1,1.1417685610023374,0.0,True,0,False,7.24,4.566666666666667,0.9950657805503913,1.3783647644259243,nan,0,0.0,0,0.05876951331496786,0,0,0.012322221322167674,0.3596205625273299,0.18286379054188728,0.6681773811578751,nominal+dam,0,False,0,41.6
S5,1013,nominal+dam,6,2.62,2.62,0.9433682315242822,3.3200000000000003,3.3200000000000003,0.9459808279275149,4.6000000000000005,4.6000000000000005,0.948802867726268,2.92,2.92,0.9226355650451094,3.02,3.02,0.9375384708186275,3.42,3.42,0.9305879964297089,0.0,True,0,False,4.6000000000000005,3.316666666666667,0.9381523265785852,1.4711462437912908,nan,0,0.0,0,0.08441558441558442,0,0,0.016852815019875178,0.4272161275965922,0.18335971981287003,0.9616818279027939,nominal+dam,0,False,2,28.2
S5,1014,nominal+dam,6,5.42,5.42,0.9881281203532725,6.16,6.16,1.0147471122119665,7.0600000000000005,7.0600000000000005,0.9759647545481587,5.66,5.66,1.0500205964034335,6.92,6.92,1.0064844240787085,9.14,9.14,0.9722050591599881,0.0029396722102740043,True,0,False,9.14,6.726666666666667,1.0012583444592547,0.4756715300571502,nan,50,0.22432846994284977,0,0.2059679767103348,0,0,0.08966354997340975,1.2318105728088484,0.1988639123737812,1.0186261497437954,nominal+dam,0,False,3,51.5
S5,1015,nominal+dam,6,8.700000000000001,8.700000000000001,0.9781200695607543,4.96,4.96,0.9881180470667396,3.5,3.5,0.9687655212392299,5.4,5.4,0.9773215422119376,3.34,3.34,0.9377587838991989,6.18,6.18,0.9747241553113664,0.0,True,0,False,8.700000000000001,5.346666666666667,0.970801353214871,1.3633256980418622,nan,0,0.0,0,0.14067278287461774,0,0,0.02412622367868578,0.4029144897606814,0.1870892010629177,0.9497939608991146,nominal+dam,0,False,0,49.9
S5,1016,nominal+dam,6,2.24,2.24,1.0529758748596048,3.42,3.42,0.9686503498372062,3.7600000000000002,3.7600000000000002,0.9539466288559055,4.46,4.46,0.9732621912147833,6.76,6.76,0.9746103976907367,7.0200000000000005,7.0200000000000005,0.9727385024433345,1.3903569133641265e-06,True,0,False,7.0200000000000005,4.61,0.9826973241502618,1.0004272795482967,nan,0,0.0,0,0.296875,0,0,0.0629023859281391,0.5573499345451574,0.2139848656952381,1.0049459524452686,nominal+dam,0,False,2,41.2
S5,1017,nominal+dam,6,6.48,6.48,0.997990138269308,8.5,8.5,0.9935506296102651,8.2,8.2,1.0326051847355244,2.7800000000000002,2.7800000000000002,0.9637322171662844,9.26,9.26,0.9972391580951683,2.38,2.38,1.4584206658999928,0.0019006892743105605,True,0,False,9.26,6.266666666666667,1.0739229989627572,0.4732333541619053,nan,60,0.22676664583809464,0,0.2614942528735632,0,0,0.12081387384576386,1.3782128296242515,0.1966077834367752,1.0212501510977745,nominal+dam,0,False,3,53.0
S5,1019,nominal+dam,6,8.06,8.06,0.98511953728447,8.02,8.02,0.984871671834014,2.5,2.5,1.181808701929849,4.22,4.22,1.0971827265996528,4.74,4.74,1.3692303613318069,8.52,8.52,1.0079254670420472,0.004244912513301925,True,0,False,8.52,6.01,1.10435641100364,0.41835480241895084,nan,52,0.2816451975810491,0,0.446135831381733,0,0,0.1666314269798758,1.615740500823634,0.22497586905956268,0.9889951907098293,nominal+dam,0,False,2,48.8
S5,1018,nominal+dam,6,4.9,4.9,1.0004760536335409,3.44,3.44,1.3338230670285527,1.6,1.6,1.0484951685285764,5.0600000000000005,5.0600000000000005,1.0406286963631572,6.66,6.66,0.9995031362093793,10.3,10.3,0.9872280915215217,1.1770433795756464e-07,True,0,False,10.3,5.326666666666667,1.0683590355474546,0.7238885867749457,nan,0,0.0,0,0.20768733850129198,1,0,0.07366676901673372,1.0613794278072322,0.18884800374507904,0.6932336837053299,nominal+dam,0,False,0,58.2
S5,1000,bc_v0,6,7.58,7.58,0.9810831629447438,12.98,12.98,0.9839153227138383,2.74,2.74,1.0473940953748526,7.28,7.28,0.980908992942844,2.22,2.22,1.2507724141295808,9.88,9.88,1.0007134142003042,0.0,True,0,False,12.98,7.113333333333333,1.0407979003843606,0.21885570151740846,nan,112,0.4811442984825915,0,0.0,0,0,0.0,0.0,0.0038081780076026917,0.020976178348064423,bc_v0,0,False,3,75.8
S5,1008,nominal+dam,6,3.66,3.66,1.296234591475693,8.2,8.2,1.2056617669510452,8.2,8.2,1.204665165962103,6.7,6.7,1.2695335635145684,60.0,nan,nan,6.82,6.82,1.1843717462892354,0.0,False,1,True,60.0,6.716,1.232093366838529,1.4491799070730422,nan,0,0.0,0,0.006388888888888889,0,0,0.0009272743584595695,0.31123701783968993,0.21724915131926537,0.6613940931856632,nominal+dam,0,False,1,318.0
S5,1004,bc_v0,6,3.8200000000000003,3.8200000000000003,1.0088794018329656,7.34,7.34,0.9700916268427255,2.58,2.58,1.054522334487049,6.94,6.94,0.9742629994667914,6.0,6.0,0.9606360674171293,4.0200000000000005,4.0200000000000005,1.030183490032346,0.0,True,0,False,7.34,5.116666666666667,0.9997626533465012,1.2233408368930259,nan,0,0.0,0,0.0,0,0,0.0,0.0,0.002367887645959854,0.015904195606708527,bc_v0,0,False,1,46.6
